name,polytyp,Tc,ref,author,link,comment,polytyp2,C_R,C_T,vol_per_atom,Z,f4,d5,L4f,S4f,J4f,(g-1)J4f,(2-g)J4f
Ce2Co17,Th2Zn17,1100.0,"JOURNAL OF APPLIED PHYSICS 85, 4666 (1999)","Bao-gen Shen, et al.",,,Th2Zn17,0.008054200156334216,0.06846070132884083,13.069349637648719,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
Ce2Co7,Ce2Ni7,123.0,"Reports on Progress in Physics, 40, 1179 (1977)",K H J Buschow,,,Ce2Ni7,0.015190784540301592,0.05316774589105557,14.628752164357293,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
Ce5Co19,,293.0,"A Thesis, In the Department Of Mechanical, Industrial & Aerospace Engineering, Concordia University 
Montreal, Quebec, Canada ,May 2018.",Tian Wan,https://spectrum.library.concordia.ca/984280/1/Wang_PhD_F2018.pdf,,Ce5Co19,0.014486356602584152,0.05504815508981977,14.381347846715975,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
CeCo2,,0.0,"A Thesis, In the Department Of Mechanical, Industrial & Aerospace Engineering, Concordia University 
Montreal, Quebec, Canada ,May 2018.",Tian Wan,https://spectrum.library.concordia.ca/984280/1/Wang_PhD_F2018.pdf,,MgCu2,0.021785571929508012,0.043571143859016025,15.300646428374996,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
CeCo3,,78.0,"A Thesis, In the Department Of Mechanical, Industrial & Aerospace Engineering, Concordia University 
Montreal, Quebec, Canada ,May 2018.",Tian Wan,https://spectrum.library.concordia.ca/984280/1/Wang_PhD_F2018.pdf,,PuNi3,0.017122851636423325,0.051368554909269976,14.600371790187443,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
CeCo5,,653.0,"PHYSICAL REVIEW APPLIED 11, 014052 (2019)",Tej N. Lamichhane et al. ,,,CaCu5,0.011833631401472379,0.059168157007361895,14.084152278558335,58.0,1.0,1.0,3.0,0.5,2.5,-0.35714285700000004,2.857142857
Dy2Co17,Th2Ni17,1183.0,"Journal of Alloys and Compounds, 264, 19 (1998).","Shao-ying Zhang, et al.,",https://doi.org/10.1016/S0925-8388(97)00230-2,,Th2Ni17,0.008158313302041689,0.06934566306735436,12.902563801808618,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
Dy3Co,,44.0,"Applied Physics A 99, 853 (2010) ",Jun Shen et al.,,,Fe3C,0.029130910579017,0.009710303526339,25.74584814180938,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
DyCo2,MgCu2,136.0,"Journal of Alloys and Compounds, 777, 152 (2019)","C.L.Wang, et al.",,,MgCu2,0.021469232686784686,0.04293846537356937,15.526094397333331,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
DyCo3,PuNi3,450.0,"journal of physical society of japan 58, 3431 (1989)",Hiroshi Yoshie and Yoji Nakamura,,,PuNi3,0.017076976042642324,0.05123092812792697,14.639594233530204,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
DyCo5,,973.0,"Physica B: Condensed Matter, 378–380, 1091 (2006)","Debjani Banerjee,  et al.",,,CaCu5,0.011974922852528859,0.059874614262644295,13.917974146402962,66.0,10.0,0.0,5.0,2.5,7.5,2.5,5.0
Er2Co17,Th2Ni17,1160.0,"phys. stat. sol. 29, 719 (1968)","K. H. J. Busmow, J. F. FAST, and A. S. vm DER GOOT",,,Th2Ni17,0.008206721645380834,0.06975713398573709,12.826456463767647,68.0,12.0,0.0,6.0,1.5,7.5,1.5,6.0
Er2Co7,Gd2Co7,670.0,"phys. stat. sol. 29, 719 (1968)","K. H. J. Busmow, J. F. FAST, and A. S. vm DER GOOT",,,Gd2Co7,0.01561496873680048,0.054652390578801675,14.231358766572576,68.0,12.0,0.0,6.0,1.5,7.5,1.5,6.0
ErCo2,MgCu2,38.0,"Journal of Magnetism and Magnetic Materials, 324, 3313 (2012)",Y.ÖneraM.Guillotb,,,MgCu2,0.021822119784771398,0.043644239569542796,15.275020787208334,68.0,12.0,0.0,6.0,1.5,7.5,1.5,6.0
ErCo3,,401.0,"phys. stat. sol. 29, 719 (1968)","K. H. J. Busmow, J. F. FAST, and A. S. vm DER GOOT",,,PuNi3,0.01729343866997341,0.051880316009920234,14.456349877602705,68.0,12.0,0.0,6.0,1.5,7.5,1.5,6.0
Gd2Co17,Th2Zn17,1210.0,"Journal of Applied Physics 82, 3452 (1997).","Bing Liang, et al.",https://doi.org/10.1063/1.365757,,Th2Zn17,0.008112710845884198,0.06895804219001568,12.975090557817644,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
Gd2Co17,Th2Ni17,1209.0,"Comprehensive Composite Materials, 5,  533 (2000).","A. SAFARI, B. JADIDIAN, E. K. AKDOGAN",https://doi.org/10.1016/B0-08-042993-9/00095-4,,Th2Ni17,0.008084954852711974,0.06872211624805177,13.019634594425463,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
Gd2Co7,Gd2Co7,771.0,"Comprehensive Composite Materials, 5,  533 (2000).","A. SAFARI, B. JADIDIAN, E. K. AKDOGAN",https://doi.org/10.1016/B0-08-042993-9/00095-4,,Gd2Co7,0.015112156944960797,0.05289254930736279,14.70486463524474,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
Gd3Co,Fe3C,127.0,"Comprehensive Composite Materials, 5,  533 (2000).","A. SAFARI, B. JADIDIAN, E. K. AKDOGAN",https://doi.org/10.1016/B0-08-042993-9/00095-4,https://www.sciencedirect.com/topics/chemistry/curie-temperature,Fe3C,0.028224618809729325,0.009408206269909776,26.57254665,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
Gd4Co3,,220.0,"Journal of Magnetism and Magnetic Materials 343, 184  (2013) ","Z.G. Zheng, et al.",,,Ho6Co4.5,0.025394851118136323,0.01904613833860224,21.47894244061925,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
GdCo2,MgCu2,409.0,"Comprehensive Composite Materials, 5,  533 (2000).","A. SAFARI, B. JADIDIAN, E. K. AKDOGAN",https://doi.org/10.1016/B0-08-042993-9/00095-4,,MgCu2,0.020743155778224952,0.041486311556449905,16.069557443291668,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
GdCo3,PuNi3,611.0,"Comprehensive Composite Materials, 5,  533 (2000).","A. SAFARI, B. JADIDIAN, E. K. AKDOGAN",https://doi.org/10.1016/B0-08-042993-9/00095-4,,PuNi3,0.016822149315639284,0.050466447946917854,14.861358992193642,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
GdCo5,GaCu5,953.0,"Comprehensive Composite Materials, 5,  533 (2000).","A. SAFARI, B. JADIDIAN, E. K. AKDOGAN",https://doi.org/10.1016/B0-08-042993-9/00095-4,,CaCu5,0.011799463273788339,0.0589973163689417,14.124936261881055,64.0,7.0,1.0,0.0,3.5,3.5,3.5,0.0
Ho2Co17,Th2Ni17,1195.0,"Journal of Alloys and Compounds 284,  60 (1999).","S.J.Hu, et al.",https://doi.org/10.1016/S0925-8388(98)00950-5,,Th2Ni17,0.0081874528356272,0.0695933491028312,12.856642964303948,67.0,11.0,0.0,6.0,2.0,8.0,2.0,6.0
Ho2Co7,?,670.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,Gd2Co7,0.015428799694978164,0.05400079893242357,14.403079086868445,67.0,11.0,0.0,6.0,2.0,8.0,2.0,6.0
Ho3Co,,21.0,"Journal of Applied Physics 109, 07A931 (2011)",Jun Shen  and Jian-Feng Wu,https://doi.org/10.1063/1.3561146,Neel temperature,Fe3C,0.030034323955250134,0.01001144131841671,24.9714293925,67.0,11.0,0.0,6.0,2.0,8.0,2.0,6.0
Ho4Co3,,44.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,Ho6Co4.5,0.026789082494171022,0.02009181187062827,20.361076030626645,67.0,11.0,0.0,6.0,2.0,8.0,2.0,6.0
HoCo2,MgCu2,78.0,"J Nanopart Res 12, 1167 (2010) .","X.G. Liu,  et al.,",https://doi.org/10.1007/s11051-009-9717-8,,MgCu2,0.02166735355647828,0.04333470711295656,15.38412766766667,67.0,11.0,0.0,6.0,2.0,8.0,2.0,6.0
HoCo3,,418.0,"Solid State Communications 28, 977 (1978)","S. K. Ma, et al.",,,PuNi3,0.017178479233527943,0.051535437700583824,14.55309265747254,67.0,11.0,0.0,6.0,2.0,8.0,2.0,6.0
HoCo5,,1025.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,CaCu5,0.011988510379589215,0.05994255189794608,13.902199805442173,67.0,11.0,0.0,6.0,2.0,8.0,2.0,6.0
La2Co7,Gd2Co7,490.0," Rep Prog Phys, 40, 1179 (1977)", K  H  J Buschow ,,,Gd2Co7,0.014459149556836843,0.05060702344892895,15.368969063408505,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LaCo13,,1290.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,NaZn13,0.005461338678585681,0.07099740282161385,13.07894925261607,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
LaCo5,,840.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,CaCu5,0.011134407190911771,0.05567203595455886,14.96861609324876,57.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Nd2Co17,Th2Zn17,1165.0,"Physica B: Condensed Matter, 291, 117 (2000)","L. Zhang, et al.",https://doi.org/10.1016/S0921-4526(99)01391-5,,Th2Zn17,0.007958466284125294,0.06764696341506499,13.226563276985248,60.0,4.0,0.0,6.0,1.5,4.5,-1.2272727270000001,5.727272727000001
Nd2Co7,Ce2Ni7,613.0,"Journal of Applied Physics 109, 083932 (2011); ","M. Ilyn, et al.",https://doi.org/10.1063/1.3563583,,Ce2Ni7,0.014764617114810618,0.05167615990183717,15.050997969958031,60.0,4.0,0.0,6.0,1.5,4.5,-1.2272727270000001,5.727272727000001
Nd3Co,,27.0,"Physica B: Condensed Matter, 199–200, 651 (1994)","K.Sato, et al.",https://doi.org/10.1016/0921-4526(94)91935-6,,Fe3C,0.026918205452610915,0.008972735150870305,27.862184250000002,60.0,4.0,0.0,6.0,1.5,4.5,-1.2272727270000001,5.727272727000001
Nd3Co,,27.0,"Physica B: Condensed Matter, 237–238, 530 (1997)","T.Kagayama, et al.",https://doi.org/10.1016/S0921-4526(97)00217-2,,Fe3C,0.026918205452610915,0.008972735150870305,27.862184250000002,60.0,4.0,0.0,6.0,1.5,4.5,-1.2272727270000001,5.727272727000001
NdCo2,MgCu2,98.0,"Journal of Physics: Conference Series, 391, 012110 (2012)","K Uchima, et al.",doi:10.1088/1742-6596/391/1/012110,,MgCu2,0.020480372723122406,0.04096074544624481,16.27574545833333,60.0,4.0,0.0,6.0,1.5,4.5,-1.2272727270000001,5.727272727000001
NdCo5,,910.0,"Journal of Alloys and Compounds, 219, 25 (1995)","M.I. Bartashevich, et al.",,,CaCu5,0.011455500495427111,0.057277502477135554,14.549051500036848,60.0,4.0,0.0,6.0,1.5,4.5,-1.2272727270000001,5.727272727000001
Pr2Co17,,1171.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,Th2Zn17,0.007965628747950069,0.0677078443575756,13.214670332436219,59.0,3.0,0.0,5.0,1.0,2.0,-0.4,2.4
Pr2Co7,Ce2Ni7,600.0,"EPJ Web of Conferences 29, 00018 (2012)","R.. Fersi, et al.",https://doi.org/10.1051/epjconf/20122900018,,Ce2Ni7,0.014731523962933696,0.051560333870267934,15.084808793805742,59.0,3.0,0.0,5.0,1.0,2.0,-0.4,2.4
Pr3Co,,14.0,"Physica B: Condensed Matter, 199–200, 651 (1994)","K.Sato, et al.",https://doi.org/10.1016/0921-4526(94)91935-6,,Fe3C,0.026695938941689156,0.008898646313896384,28.09416075,59.0,3.0,0.0,5.0,1.0,2.0,-0.4,2.4
PrCo2,,50.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,MgCu2,0.020463571761923247,0.04092714352384649,16.289108138666666,59.0,3.0,0.0,5.0,1.0,2.0,-0.4,2.4
PrCo2,MgCu2,39.0,"Journal of Magnetism and Magnetic Materials 25 , 27 (1981)","L.J. de JONGH, et al.",,MgCu2 structure above TC and TbFe2 structure below TC,MgCu2,0.020463571761923247,0.04092714352384649,16.289108138666666,59.0,3.0,0.0,5.0,1.0,2.0,-0.4,2.4
PrCo3,,349.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,PuNi3,0.01632157776400992,0.048964733292029765,15.317146639540285,59.0,3.0,0.0,5.0,1.0,2.0,-0.4,2.4
PrCo5,,912.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,CaCu5,0.011548333231703525,0.05774166615851763,14.432097110699777,59.0,3.0,0.0,5.0,1.0,2.0,-0.4,2.4
Sm2Co17,Th2Zn17,1200.0,"Journal of Applied Physics 87, 5314 (2000)","B. Liang, et al.",https://doi.org/10.1063/1.373332,figure,Th2Zn17,0.008041672505385147,0.06835421629577375,13.089709612552218,62.0,6.0,0.0,5.0,2.5,2.5,-1.785714286,4.285714286
Sm2Co7,Ce2Ni7,760.0,Physica  B  183  369  (1993),"M.I.  Bartashevich, et al.",,,Gd2Co7,0.014809258435473198,0.051832404524156196,15.00562794487566,62.0,6.0,0.0,5.0,2.5,2.5,-1.785714286,4.285714286
Sm3Co,,78.0,"Physica B: Condensed Matter,Volumes 199–200, 2 April 1994, Pages 651-653","K.Sato, et al.",https://doi.org/10.1016/0921-4526(94)91935-6,,Fe3C,0.027926470719653984,0.009308823573217995,26.856239999999996,62.0,6.0,0.0,5.0,2.5,2.5,-1.785714286,4.285714286
SmCo2,MgCu2,259.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,MgCu2,0.02089780520763478,0.04179561041526956,15.950638357541669,62.0,6.0,0.0,5.0,2.5,2.5,-1.785714286,4.285714286
SmCo3,,925.0,"Nanotechnology 21, 115708. (2010)","Nianduan Lu, et al.",doi: 10.1088/0957-4484/21/11/115708. ,構造あり,PuNi3,0.016553520775494764,0.04966056232648429,15.102527334855012,62.0,6.0,0.0,5.0,2.5,2.5,-1.785714286,4.285714286
SmCo5,,1120.0,"Bibliography of Magnetic Materials and Tabulation of Magnetic Transition Temperatures, Springer US, 1972.","Connolly, T. F.",https://www.springer.com/gp/book/9781468413984,,CaCu5,0.011703743330629244,0.058518716653146216,14.240458113131396,62.0,6.0,0.0,5.0,2.5,2.5,-1.785714286,4.285714286
Tb2Co17,Th2Ni17,1185.0,"Physica B, 304, 289–297  (2001) ","Z.F. Gu, et al.",,,Th2Ni17,0.008148278476331918,0.06926036704882131,12.918453658707401,65.0,9.0,0.0,4.0,3.0,6.0,3.0,3.0
Tb2Co7,?,720.0,"phys. stat. sol. (a)71, K245 (1982)","A.V. ANDREEV, et al.",,,Gd2Co7,0.015270047886318226,0.05344516760211379,14.552817638596313,65.0,9.0,0.0,4.0,3.0,6.0,3.0,3.0
Tb3Co,,82.0,"Journal of Physics Condensed Matter, 19, 326213 (2007)","N V Baranov, et al.",,Neel temperature,Fe3C,0.029027677364109404,0.009675892454703135,25.837409951625,65.0,9.0,0.0,4.0,3.0,6.0,3.0,3.0
TbCo2,MgCu2,240.0,"Journal of Alloys and Compounds, 390 21 (2005)","Z.W. Ouyang, et al.",,,MgCu2,0.02140670098044708,0.04281340196089416,15.571448101125,65.0,9.0,0.0,4.0,3.0,6.0,3.0,3.0
TbCo5,CaCu5,970.0,"J. Alloys Compd., 235, 77 (1996)",A.V. Andreev,,figure,CaCu5,0.011831097249747503,0.05915548624873751,14.087169021472091,65.0,9.0,0.0,4.0,3.0,6.0,3.0,3.0
Tm2Co7,Gd2Co7,640.0,"Journal of Alloys and Compounds, 189, 187 (1992) ",AV Andreev,,,Gd2Co7,0.015598059246839458,0.05459320736393811,14.246786648617826,69.0,13.0,0.0,5.0,1.0,6.0,1.0,5.0
TmCo2,MgCu2,3.6,"ACTA PHYSICA POLONICA A, 127, 379 (2015).","J. \'Sebesta, et al.",,,MgCu2,0.022181848360840743,0.044363696721681486,15.027301959280875,69.0,13.0,0.0,5.0,1.0,6.0,1.0,5.0
TmCo3,,370.0,"Solid State Communications, 37, 329 ,(1981)","S.K.Malik, et al.",https://doi.org/10.1016/0038-1098(81)90370-7,,PuNi3,0.017391820048776804,0.05217546014633041,14.374573753572326,69.0,13.0,0.0,5.0,1.0,6.0,1.0,5.0
